vac_id,vac_name,grade,city,geo,geo_city,published_at,archived,employer_id,emp_name,addres,is_accredited,is_trusted,salary_from,salary_to,currency,gross,mode_name,frequency,prof_role,schedule_name,insider_interview,response_letter_required,experience,hard_skills,soft_skills,has_test,url,parsed_for_job
94190197,Руководитель отдела аналитики и планирования,Team Lead,Москва,"[55.76097787841417, 37.76801318056431]","[55.625578, 37.6063916]",2025-07-14T10:29:12+0300,0,38775,Полная занятость,"Москва, шоссе Энтузиастов, 56",0,1,261000.0,,RUR,1,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,excel; office; point,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/94190197,Руководитель отдела аналитики
99569863,Начальник аналитического отдела,Team Lead,Белгород,"[50.59626, 36.594778]","[50.5955595, 36.5873394]",2025-07-11T14:20:54+0300,0,9558723,Полная занятость,"Белгород, проспект Славы, 25",0,1,85000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,etl; python,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/99569863,Руководитель отдела аналитики
100362023,Ассистент-брокер в команду,Middle,Курск,"[51.728838, 36.188991]","[51.7309249, 36.1923123]",2025-07-02T13:34:05+0300,0,9011518,Полная занятость,"Курск, улица Дзержинского, 9А",0,1,70000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,Нет опыта,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; управление команда,0,https://hh.ru/vacancy/100362023,Руководитель отдела аналитики
103006738,Ведущий специалист отдела планирования и бюджетирования,Senior,Улан-Удэ,"[51.835221, 107.582732]","[51.8357841, 107.5839105]",2025-06-25T11:12:53+0300,0,1492230,Полная занятость,"Улан-Удэ, улица Ранжурова, 8",0,1,60000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,1с; excel,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/103006738,Руководитель отдела аналитики
112723261,Главный специалист (производственный мастер) в отдел развития производственной системы,Team Lead,Нижний Новгород,"[56.358856, 43.870538]","[56.3264816, 44.0051395]",2025-06-30T08:18:19+0300,0,3278837,Полная занятость,"Нижний Новгород, улица Баррикад, 1",0,1,63466.5,,RUR,1,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/112723261,Руководитель отдела аналитики
117283688,Руководитель отдела кредитного анализа,Team Lead,Челябинск,"[55.165919, 61.411815]","[55.1598408, 61.4025547]",2025-07-08T09:29:17+0300,0,3417591,Полная занятость,"Челябинск, улица Маркса, 38",0,1,140000.0,,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/117283688,Руководитель отдела аналитики
118191781,Начальник отдела цифровизации,Team Lead,Москва,"[55.771434, 37.616324]","[55.625578, 37.6063916]",2025-07-02T09:18:27+0300,0,11714650,Полная занятость,"Москва, Большой Каретный переулок",0,1,180000.0,200000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/118191781,Руководитель отдела аналитики
118979718,Руководитель направления (аналитика),Team Lead,Москва,"[55.781362, 37.562083]","[55.625578, 37.6063916]",2025-06-29T14:56:54+0300,0,106571,Полная занятость,"Москва, Беговая аллея, 9А",0,1,152250.0,,RUR,1,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,1с; erp; excel; sap,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/118979718,Руководитель отдела аналитики
119091826,Заместитель начальника молодежного центра,Team Lead,Владивосток,"[43.128953, 131.942483]","[43.1150678, 131.8855768]",2025-06-23T07:45:17+0300,0,2827445,Полная занятость,"Владивосток, Луговая улица, 52Б",0,1,50000.0,55000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 1 года до 3 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/119091826,Руководитель отдела аналитики
119349655,Руководитель направления по НСИ,Team Lead,Москва,"[55.707299, 37.456828]","[55.625578, 37.6063916]",2025-06-23T11:38:04+0300,0,4940004,Полная занятость,"Москва, Аминьевское шоссе, 6",0,1,250000.0,250000.0,RUR,0,За месяц,,Руководитель отдела аналитики,Полный день,,0,От 3 до 6 лет,,адаптивность; аналитический мышление; коммуникация; креативность; лидерство; обучение; организованность; ответственность; проактивность; работа в команда; стрессоустойчивость; тайм-менеджмент; управление команда,0,https://hh.ru/vacancy/119349655,Руководитель отдела аналитики
