,vac_id,vac_name,city,published_at,archived,experience,url,employer_id,schedule_name,employment_name,prof_role
0,122521980,Младший аналитик данных,1,2025-07-08T12:02:54+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122521980,88618,Удаленная работа,Полная занятость,Аналитик
1,122540411,Аналитик данных,2,2025-07-08T16:42:47+0300,False,От 3 до 6 лет,https://hh.ru/vacancy/122540411,4334427,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
2,121091720,Intern Data Analyst / Стажер - аналитик данных,1,2025-07-08T10:24:56+0300,False,Нет опыта,https://hh.ru/vacancy/121091720,4949,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
3,122289965,Аналитик данных,2,2025-07-08T09:37:00+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122289965,2638816,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
4,122501166,Аналитик данных,1,2025-07-07T23:58:31+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122501166,5583220,Удаленная работа,Полная занятость,"BI-аналитик, аналитик данных"
5,122450018,"Аналитик данных (Power Bi, SQL, Python)",1,2025-07-07T08:49:02+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122450018,1101325,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
6,122501699,Аналитик данных,22,2025-07-08T03:05:56+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122501699,5920492,Полный день,Полная занятость,Бизнес-аналитик
7,119299988,Аналитик данных/Data Analyst,2,2025-07-06T17:55:05+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/119299988,114223,Полный день,Полная занятость,Бизнес-аналитик
8,122448160,Аналитик данных,88,2025-07-07T08:09:29+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122448160,15848,Полный день,Полная занятость,Аналитик
9,122366957,Аналитик данных,2,2025-07-06T17:26:10+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122366957,1065781,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
10,122502914,Аналитик данных,54,2025-07-08T06:09:44+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122502914,3415260,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
11,122184142,Аналитик данных,176,2025-07-06T09:16:30+0300,False,Нет опыта,https://hh.ru/vacancy/122184142,3558310,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
12,122469452,Аналитик данных,1,2025-07-07T12:50:39+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122469452,11250766,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
13,122467156,Аналитик данных,1,2025-07-07T12:15:58+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122467156,8898496,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
14,121565524,Младший аналитик данных,2,2025-07-07T09:40:34+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/121565524,2190230,Удаленная работа,Полная занятость,"BI-аналитик, аналитик данных"
15,122379519,Специалист по работе с базой данных и аналитике,1,2025-07-07T09:51:01+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122379519,1026046,Полный день,Полная занятость,Аналитик
16,121016087,Аналитик данных,26,2025-07-08T08:44:23+0300,False,Нет опыта,https://hh.ru/vacancy/121016087,1495025,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
17,121062906,Бизнес-аналитик / Аналитик данных,2,2025-07-08T13:46:21+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/121062906,3783,Полный день,Полная занятость,Аналитик
18,121602171,Аналитик данных,1002,2025-07-06T09:42:43+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/121602171,775340,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
19,121787696,Аналитик данных,1,2025-07-07T09:23:58+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/121787696,579,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
20,118704325,Аналитик данных (Data Analyst),1,2025-07-08T16:53:39+0300,False,Нет опыта,https://hh.ru/vacancy/118704325,80981,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
21,122540522,Аналитик данных / Продуктовый аналитик,1,2025-07-08T16:45:00+0300,False,От 3 до 6 лет,https://hh.ru/vacancy/122540522,3529,Полный день,Полная занятость,Аналитик
22,121820454,Аналитик данных,1641,2025-07-07T09:29:22+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/121820454,1822182,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
23,122512526,Стажер/Аналитик данных (интернет-маркетинг),47,2025-07-08T10:05:21+0300,False,Нет опыта,https://hh.ru/vacancy/122512526,2395511,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
24,119477141,Аналитик данных,3,2025-07-06T15:48:40+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/119477141,4431221,Полный день,Полная занятость,Аналитик
25,122053266,Аналитик данных,2,2025-07-07T11:42:40+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/122053266,2484910,Полный день,Полная занятость,Аналитик
26,121907820,Аналитик базы данных,2759,2025-07-08T15:45:10+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/121907820,5901176,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
27,122366818,"Аналитик финансовых данных (BI, финансы, SQL)",1,2025-07-06T17:24:10+0300,False,От 3 до 6 лет,https://hh.ru/vacancy/122366818,3120634,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
28,121661463,Аналитик данных,22,2025-07-04T09:56:08+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/121661463,5920492,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
29,121544758,BI-аналитик/ аналитик данных,1,2025-07-07T18:34:19+0300,False,От 1 года до 3 лет,https://hh.ru/vacancy/121544758,1853234,Полный день,Полная занятость,"BI-аналитик, аналитик данных"
